x0,x1,y0,y1,v,a,r
33.0,177.0,-16.0,11.0,-8.0,0.0,1.0
29.0,173.0,-8.0,19.0,-7.0,0.0,1.0
25.0,169.0,-1.0,26.0,-6.0,0.0,1.0
21.0,165.0,5.0,32.0,-5.0,0.0,1.0
17.0,161.0,10.0,37.0,-4.0,0.0,1.0
13.0,157.0,14.0,41.0,-3.0,0.0,1.0
9.0,153.0,17.0,44.0,-2.0,0.0,1.0
5.0,149.0,19.0,46.0,-1.0,0.0,1.0
1.0,145.0,20.0,47.0,0.0,0.0,1.0
141.0,0.0,47.0,0.0,1.0,0.0,1.0
137.0,287.0,46.0,16.0,2.0,0.0,1.0
133.0,283.0,44.0,14.0,3.0,0.0,1.0
129.0,279.0,41.0,11.0,4.0,0.0,1.0
125.0,275.0,37.0,7.0,5.0,0.0,1.0
121.0,271.0,32.0,2.0,6.0,0.0,1.0
117.0,267.0,26.0,-4.0,7.0,0.0,1.0
113.0,263.0,19.0,-11.0,8.0,0.0,1.0
109.0,259.0,11.0,-19.0,9.0,0.0,1.0
105.0,255.0,2.0,-28.0,10.0,0.0,1.0
101.0,251.0,-8.0,-38.0,10.0,0.0,1.0
97.0,247.0,-18.0,-48.0,10.0,0.0,1.0
93.0,243.0,-28.0,-58.0,10.0,0.0,1.0
89.0,239.0,-19.0,-49.0,-9.0,1.0,1.0
85.0,235.0,-10.0,-40.0,-8.0,0.0,1.0
81.0,231.0,-2.0,-32.0,-7.0,0.0,1.0
77.0,227.0,5.0,-25.0,-6.0,0.0,1.0
73.0,223.0,11.0,-19.0,-5.0,0.0,1.0
69.0,219.0,16.0,-14.0,-4.0,0.0,1.0
65.0,215.0,20.0,-10.0,-3.0,0.0,1.0
61.0,211.0,23.0,-7.0,-2.0,0.0,1.0
57.0,207.0,25.0,-5.0,-1.0,0.0,1.0
53.0,203.0,26.0,-4.0,0.0,0.0,1.0
49.0,199.0,26.0,-4.0,1.0,0.0,1.0
45.0,195.0,25.0,-5.0,2.0,0.0,1.0
41.0,191.0,23.0,-7.0,3.0,0.0,1.0
37.0,187.0,20.0,-10.0,4.0,0.0,1.0
33.0,183.0,16.0,-14.0,5.0,0.0,1.0
29.0,179.0,11.0,-19.0,6.0,0.0,1.0
25.0,175.0,5.0,-25.0,7.0,0.0,1.0
21.0,171.0,-2.0,-32.0,8.0,0.0,1.0
17.0,167.0,-10.0,-40.0,9.0,0.0,1.0
13.0,163.0,-19.0,-49.0,10.0,0.0,1.0
9.0,159.0,-29.0,-59.0,10.0,0.0,1.0
5.0,155.0,-20.0,-50.0,-9.0,1.0,1.0
1.0,151.0,-11.0,-41.0,-8.0,0.0,1.0
147.0,0.0,-33.0,0.0,-7.0,0.0,1.0
143.0,287.0,-24.0,-56.0,-9.0,1.0,1.0
139.0,283.0,-15.0,-47.0,-8.0,0.0,1.0
135.0,279.0,-7.0,-39.0,-7.0,0.0,1.0
131.0,275.0,0.0,-32.0,-6.0,0.0,1.0
127.0,271.0,6.0,-26.0,-5.0,0.0,1.0
123.0,267.0,11.0,-21.0,-4.0,0.0,1.0
119.0,263.0,15.0,-17.0,-3.0,0.0,1.0
115.0,259.0,18.0,-14.0,-2.0,0.0,1.0
111.0,255.0,20.0,-12.0,-1.0,0.0,1.0
107.0,251.0,21.0,-11.0,0.0,0.0,1.0
103.0,247.0,21.0,-11.0,1.0,0.0,1.0
99.0,243.0,20.0,-12.0,2.0,0.0,1.0
95.0,239.0,18.0,-14.0,3.0,0.0,1.0
91.0,235.0,15.0,-17.0,4.0,0.0,1.0
87.0,231.0,11.0,-21.0,5.0,0.0,1.0
83.0,227.0,6.0,-26.0,6.0,0.0,1.0
79.0,223.0,0.0,-32.0,7.0,0.0,1.0
75.0,219.0,-7.0,-39.0,8.0,0.0,1.0
71.0,215.0,-15.0,-47.0,9.0,0.0,1.0
67.0,211.0,-24.0,-56.0,10.0,0.0,1.0
63.0,207.0,-34.0,-66.0,10.0,0.0,1.0
59.0,203.0,-25.0,-57.0,-9.0,1.0,1.0
55.0,199.0,-16.0,-48.0,-8.0,0.0,1.0
51.0,195.0,-8.0,-40.0,-7.0,0.0,1.0
47.0,191.0,-1.0,-33.0,-6.0,0.0,1.0
43.0,187.0,5.0,-27.0,-5.0,0.0,1.0
39.0,183.0,10.0,-22.0,-4.0,0.0,1.0
35.0,179.0,14.0,-18.0,-3.0,0.0,1.0
31.0,175.0,17.0,-15.0,-2.0,0.0,1.0
27.0,171.0,19.0,-13.0,-1.0,0.0,1.0
23.0,167.0,20.0,-12.0,0.0,0.0,1.0
19.0,163.0,20.0,-12.0,1.0,0.0,1.0
15.0,159.0,19.0,-13.0,2.0,0.0,1.0
11.0,155.0,17.0,-15.0,3.0,0.0,1.0
7.0,151.0,14.0,-18.0,4.0,0.0,1.0
3.0,147.0,10.0,-22.0,5.0,0.0,1.0
143.0,0.0,-27.0,0.0,6.0,0.0,1.0
139.0,0.0,-18.0,0.0,-9.0,1.0,1.0
135.0,287.0,-9.0,59.0,-8.0,0.0,1.0
131.0,283.0,-1.0,67.0,-7.0,0.0,1.0
127.0,279.0,6.0,74.0,-6.0,0.0,1.0
123.0,275.0,12.0,80.0,-5.0,0.0,1.0
119.0,271.0,17.0,85.0,-4.0,0.0,1.0
115.0,267.0,21.0,89.0,-3.0,0.0,1.0
111.0,263.0,24.0,92.0,-2.0,0.0,1.0
107.0,259.0,26.0,94.0,-1.0,0.0,1.0
103.0,255.0,27.0,95.0,0.0,0.0,1.0
99.0,251.0,27.0,95.0,1.0,0.0,1.0
95.0,247.0,26.0,94.0,2.0,0.0,1.0
91.0,243.0,24.0,92.0,3.0,0.0,1.0
87.0,239.0,21.0,89.0,4.0,0.0,1.0
83.0,235.0,17.0,85.0,5.0,0.0,1.0
79.0,231.0,12.0,80.0,6.0,0.0,1.0
75.0,227.0,6.0,74.0,7.0,0.0,1.0
71.0,223.0,-1.0,67.0,8.0,0.0,1.0
67.0,219.0,-9.0,59.0,9.0,0.0,1.0
63.0,215.0,-18.0,50.0,10.0,0.0,1.0
59.0,211.0,-28.0,40.0,10.0,0.0,1.0
55.0,207.0,-19.0,49.0,-9.0,1.0,1.0
51.0,203.0,-10.0,58.0,-8.0,0.0,1.0
47.0,199.0,-2.0,66.0,-7.0,0.0,1.0
43.0,195.0,5.0,73.0,-6.0,0.0,1.0
39.0,191.0,11.0,79.0,-5.0,0.0,1.0
35.0,187.0,16.0,84.0,-4.0,0.0,1.0
31.0,183.0,20.0,88.0,-3.0,0.0,1.0
