473.0,617.0,-6.0,-95.0,-8.0,0.0,1.0
469.0,613.0,2.0,-87.0,-7.0,0.0,1.0
465.0,609.0,9.0,-80.0,-6.0,0.0,1.0
461.0,605.0,15.0,-74.0,-5.0,0.0,1.0
457.0,601.0,20.0,-69.0,-4.0,0.0,1.0
453.0,597.0,24.0,-65.0,-3.0,0.0,1.0
449.0,593.0,27.0,-62.0,-2.0,0.0,1.0
445.0,589.0,29.0,-60.0,-1.0,0.0,1.0
441.0,585.0,30.0,-59.0,0.0,0.0,1.0
437.0,581.0,30.0,-59.0,1.0,0.0,1.0
433.0,577.0,29.0,-60.0,2.0,0.0,1.0
429.0,573.0,27.0,-62.0,3.0,0.0,1.0
425.0,569.0,24.0,-65.0,4.0,0.0,1.0
421.0,565.0,20.0,-69.0,5.0,0.0,1.0
417.0,561.0,15.0,-74.0,6.0,0.0,1.0
413.0,557.0,9.0,-80.0,7.0,0.0,1.0
409.0,553.0,2.0,-87.0,8.0,0.0,1.0
405.0,549.0,-6.0,-95.0,9.0,0.0,1.0
401.0,545.0,-15.0,-104.0,10.0,0.0,1.0
397.0,541.0,-25.0,-114.0,10.0,0.0,1.0
393.0,537.0,-35.0,-124.0,10.0,0.0,1.0
389.0,533.0,-26.0,-115.0,-9.0,1.0,1.0
385.0,529.0,-17.0,-106.0,-9.0,1.0,1.0
381.0,525.0,-8.0,-97.0,-8.0,0.0,1.0
377.0,521.0,0.0,-89.0,-7.0,0.0,1.0
373.0,517.0,7.0,-82.0,-6.0,0.0,1.0
369.0,513.0,13.0,-76.0,-5.0,0.0,1.0
365.0,509.0,18.0,-71.0,-4.0,0.0,1.0
361.0,505.0,22.0,-67.0,-3.0,0.0,1.0
357.0,501.0,25.0,-64.0,-2.0,0.0,1.0
353.0,497.0,27.0,-62.0,-1.0,0.0,1.0
349.0,493.0,28.0,-61.0,0.0,0.0,1.0
345.0,489.0,28.0,-61.0,1.0,0.0,1.0
341.0,485.0,27.0,-62.0,2.0,0.0,1.0
337.0,481.0,25.0,-64.0,3.0,0.0,1.0
333.0,477.0,22.0,-67.0,4.0,0.0,1.0
329.0,473.0,18.0,-71.0,5.0,0.0,1.0
325.0,469.0,13.0,-76.0,6.0,0.0,1.0
321.0,465.0,7.0,-82.0,7.0,0.0,1.0
317.0,461.0,0.0,-89.0,8.0,0.0,1.0
313.0,457.0,-8.0,-97.0,9.0,0.0,1.0
309.0,453.0,-17.0,-106.0,10.0,0.0,1.0
305.0,449.0,-27.0,-116.0,10.0,0.0,1.0
301.0,445.0,-18.0,-107.0,-9.0,1.0,1.0
297.0,441.0,-9.0,-98.0,-8.0,0.0,1.0
293.0,437.0,-1.0,-90.0,-7.0,0.0,1.0
289.0,433.0,6.0,-83.0,-6.0,0.0,1.0
285.0,429.0,12.0,-77.0,-5.0,0.0,1.0
281.0,425.0,17.0,-72.0,-4.0,0.0,1.0
277.0,421.0,21.0,-68.0,-3.0,0.0,1.0
