x0,x1,y0,y1,v,a,r
257.0,401.0,15.0,67.0,-3.0,0.0,1.0
253.0,397.0,18.0,70.0,-2.0,0.0,1.0
249.0,393.0,20.0,72.0,-1.0,0.0,1.0
245.0,389.0,21.0,73.0,0.0,0.0,1.0
241.0,385.0,21.0,73.0,1.0,0.0,1.0
237.0,381.0,20.0,72.0,2.0,0.0,1.0
233.0,377.0,18.0,70.0,3.0,0.0,1.0
229.0,373.0,15.0,67.0,4.0,0.0,1.0
225.0,369.0,11.0,63.0,5.0,0.0,1.0
221.0,365.0,6.0,58.0,6.0,0.0,1.0
217.0,361.0,0.0,52.0,7.0,0.0,1.0
213.0,357.0,-7.0,45.0,8.0,0.0,1.0
209.0,353.0,-15.0,37.0,9.0,0.0,1.0
205.0,349.0,-24.0,28.0,10.0,0.0,1.0
201.0,345.0,-34.0,18.0,10.0,0.0,1.0
197.0,341.0,-25.0,27.0,-9.0,1.0,1.0
193.0,337.0,-16.0,36.0,-8.0,0.0,1.0
189.0,333.0,-8.0,44.0,-7.0,0.0,1.0
185.0,329.0,-1.0,51.0,-6.0,0.0,1.0
181.0,325.0,5.0,57.0,-5.0,0.0,1.0
177.0,321.0,10.0,62.0,-4.0,0.0,1.0
173.0,317.0,14.0,66.0,-3.0,0.0,1.0
169.0,313.0,17.0,69.0,-2.0,0.0,1.0
165.0,309.0,19.0,71.0,-1.0,0.0,1.0
161.0,305.0,20.0,72.0,0.0,0.0,1.0
157.0,301.0,20.0,72.0,1.0,0.0,1.0
153.0,297.0,19.0,71.0,2.0,0.0,1.0
149.0,293.0,17.0,69.0,3.0,0.0,1.0
145.0,289.0,14.0,66.0,4.0,0.0,1.0
141.0,285.0,10.0,62.0,5.0,0.0,1.0
137.0,281.0,5.0,57.0,6.0,0.0,1.0
133.0,277.0,-1.0,51.0,7.0,0.0,1.0
129.0,273.0,-8.0,44.0,8.0,0.0,1.0
125.0,269.0,-16.0,36.0,9.0,0.0,1.0
121.0,265.0,-25.0,27.0,10.0,0.0,1.0
117.0,261.0,-35.0,17.0,10.0,0.0,1.0
113.0,257.0,-26.0,26.0,-9.0,1.0,1.0
109.0,253.0,-17.0,35.0,-9.0,1.0,1.0
105.0,249.0,-8.0,44.0,-8.0,0.0,1.0
